CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,isActiveMember,EstimatedSalary,Exited
15796958,Tang,658,France,Male,39,7,0,2,1,0,48378,0
15605341,Baird,681,France,Female,58,8,93174,1,1,1,139761,0
15607990,Gallo,760,Spain,Male,43,6,175736,1,1,1,157337,0
15717984,Longo,477,France,Male,47,9,144901,1,1,0,61315,1
15732270,Hung,727,Spain,Male,71,8,0,1,1,1,198447,1
15714006,Gardener,482,France,Female,35,2,133112,1,0,1,79958,0
15786215,Udinese,793,France,Male,56,8,119496,2,1,0,29881,0
15764335,Caldwell,463,Germany,Female,41,8,123152,2,1,0,70128,0
15654292,Vessels,565,Germany,Male,33,8,130368,2,1,0,105642,0
15616451,Genovese,697,France,Female,47,6,128253,1,1,1,168053,0
15712483,Chidi,608,Spain,Female,28,4,0,2,1,0,10900,1
15570060,Palerma,586,France,Female,43,8,132558,1,1,0,67047,1
15631159,H?,705,Germany,Male,41,4,72253,2,1,1,142515,0
15713532,Wang,646,Germany,Female,29,4,105957,1,1,0,15471,0
15803842,Dunn,752,Germany,Female,45,3,105427,2,0,1,89773,0
15724924,Giordano,589,France,Female,37,6,138498,1,0,1,18989,0
15761554,Blackburn,581,France,Male,54,4,89300,1,0,0,5558,1
15810347,Todd,662,Spain,Female,30,9,0,2,0,1,157885,0
15681476,Foveaux,520,France,Female,39,1,73493,1,0,1,109626,1
15779423,K?,716,France,Male,39,1,70658,2,1,1,76476,0
15797822,Kingsley,678,France,Male,28,2,109137,1,1,1,58814,0
15737404,Kesteven,731,France,Male,31,1,132512,1,1,1,185467,0
15728456,Martinez,604,France,Male,33,3,0,1,1,0,42171,1
15790489,Lo Duca,534,Spain,Male,34,5,170601,1,0,1,5241,0
15731751,Osinachi,437,France,Female,26,1,120924,1,0,1,78855,0
15811343,Cattaneo,644,Germany,Male,35,5,161591,3,1,1,63796,0
15571121,Kodilinyechukwu,670,France,Female,50,8,138340,1,0,1,3159,0
15697606,Sturdee,637,France,Female,21,10,125712,1,0,0,175072,0
15614220,Benson,750,France,Male,22,5,0,2,0,1,105126,0
15584536,Barber,720,Germany,Male,46,3,97043,1,1,1,133517,1
15687492,Anderson,596,Germany,Male,32,3,96709,2,0,0,41788,0
15761733,King,707,France,Female,42,10,0,2,1,1,152944,0
15598782,Pinto,755,Germany,Female,30,6,154221,2,0,1,62689,0
15795290,Nikitina,767,France,Female,42,2,133616,1,1,0,28616,0
15681196,Chikere,629,France,Male,35,1,172170,1,1,1,159777,0
15644200,Hamilton,807,Spain,Female,42,1,0,1,1,0,16501,1
15810732,Grant,730,France,Female,36,8,148749,2,1,0,91831,0
15665374,Dumolo,610,Spain,Female,31,5,0,2,0,0,63736,0
15813681,Zito,786,Germany,Male,24,2,120136,2,1,1,125449,0
15773809,Campbell,620,France,Male,42,4,0,2,1,0,6232,0
15675650,Duncan,486,France,Female,39,8,97819,1,0,1,120531,0
15598493,Beach,656,France,Male,50,7,0,2,0,1,72143,0
15674678,Bradley,731,Germany,Female,43,9,79120,1,0,0,549,1
15741049,Colebatch,577,France,Male,29,7,0,2,1,1,55473,0
15663249,Howells,575,Spain,Female,37,9,133292,1,1,0,111175,0
15709474,Macnamara,740,Germany,Female,57,3,113386,2,1,1,65122,1
15794661,Liu,674,Spain,Male,32,2,0,2,1,0,140579,0
15626452,Beatham,711,Spain,Male,32,5,0,2,1,1,147720,0
15616700,Leach,622,Spain,Female,41,9,0,2,1,1,155786,0
15694453,Walker,631,Germany,Male,37,9,131519,2,1,1,51752,0
15779103,Cantamessa,527,Germany,Female,39,9,96749,2,1,0,94711,0
15675231,Nwankwo,518,France,Female,45,8,0,2,1,1,36193,0
15786078,Loginov,850,France,Female,28,9,0,2,1,0,185821,0
15672467,Coles,766,France,Female,52,7,92511,2,0,1,66194,0
15711378,Willis,677,France,Male,38,4,0,2,1,0,187801,0
15732963,Clements,722,Spain,Female,29,9,0,2,1,1,142033,0
15747208,Watt,608,France,Male,50,6,0,1,1,0,93569,1
15577478,Ch'iu,714,France,Female,72,3,0,1,1,1,86734,0
15622532,Izmailova,708,France,Female,47,0,126589,2,0,1,132730,1
15709604,McMillan,781,France,Male,23,2,107433,1,1,0,173843,0
15586821,Bellew,727,France,Male,28,5,0,2,0,1,19653,0
15670492,Gordon,737,France,Male,28,8,0,2,1,0,106390,0
15790846,Ts'ai,634,Germany,Male,38,2,148431,1,1,1,56056,0
15701392,Lucciano,815,Spain,Male,28,6,0,2,0,1,185548,0
15754168,McIntosh,506,France,Female,40,3,0,1,1,1,144346,0
15724648,Chikezie,725,France,Male,26,6,98684,1,0,0,133721,0
15775886,Su,670,France,Male,36,3,0,1,1,0,140754,1
15603328,Lucchesi,483,France,Male,27,1,77806,1,1,1,2102,0
15611191,Scott,505,Germany,Female,37,10,122454,2,1,1,52694,0
15616550,Chidiebele,698,Germany,Male,44,10,116363,2,1,0,198059,0
15583680,White,615,Spain,Male,41,4,0,1,0,1,149279,0
15636589,Murray,794,France,Female,41,7,0,2,1,1,74275,0
15801316,Ifeatu,523,France,Male,61,8,66251,1,1,1,21859,0
15660528,Niu,659,Spain,Male,27,4,0,2,1,0,99342,0
15727556,O'Donnell,744,Spain,Female,26,5,166298,1,1,1,181694,0
15787693,Kharlamov,559,Spain,Male,38,3,145874,1,1,0,56311,1
15750121,Tung,639,France,Male,38,3,0,1,1,0,42863,0
15774872,Joslin,663,France,Male,36,10,0,2,1,0,136350,0
15752622,Kerr,729,France,Female,32,7,38550,1,0,1,179230,0
15567114,McGarry,430,France,Male,35,1,118894,1,0,0,2924,0
15566594,McKenzie,709,Spain,Male,23,10,0,2,0,0,129590,0
15772250,Udegbunam,842,Spain,Male,46,9,0,1,0,0,17268,0
15738672,Paterson,737,Germany,Female,40,2,162486,2,1,0,149381,0
15603156,Elewechi,571,France,Female,33,1,0,2,1,0,102751,0
15607874,Keane,687,France,Male,38,0,144451,1,0,1,137277,0
15601688,Piccio,546,France,Male,28,8,0,1,1,0,159254,0
15727311,Yen,539,France,Female,22,0,100886,2,1,1,38773,0
15687130,Nkemjika,686,France,Female,43,0,0,1,1,1,170073,0
15627854,Mai,707,Spain,Male,44,3,0,2,1,1,135077,0
15675176,Price,512,France,Male,51,6,144953,1,1,1,165035,0
15778395,McIntyre,762,Germany,Male,34,4,88816,2,1,0,68562,1
15576745,Fyodorov,769,France,Male,48,2,96542,2,0,1,197886,0
15696989,Chukwueloka,469,Germany,Female,52,8,139493,3,0,0,150093,1
15619674,White,649,France,Female,35,4,108306,1,1,1,192486,0
15575759,Bentley,583,Spain,Female,40,3,54428,1,1,0,109639,1
15614962,Pavlova,623,Spain,Female,50,2,87117,1,1,1,104382,0
15671387,Fetherstonhaugh,507,France,Female,29,4,89349,2,0,0,180627,0
15578141,Chien,592,Spain,Male,38,3,0,1,1,1,12906,1
15619953,Efremov,662,Spain,Female,42,6,105021,1,1,0,48242,0
15729246,Hardacre,847,Spain,Male,31,5,0,2,1,1,76327,0
15740442,May,603,France,Male,51,8,186826,1,1,0,93740,1
15592412,Sun,713,Germany,Male,45,4,131038,1,1,0,74005,1
15647898,Russell,610,Spain,Female,50,5,130555,3,1,0,184758,1
15689886,Holden,626,Germany,Male,39,10,132288,3,1,1,51468,1
15699797,Santana,737,France,Male,30,8,174356,1,0,0,31929,0
15711251,Chizuoke,514,France,Male,45,1,178828,1,1,0,60375,0
15586848,Rose,706,France,Male,38,1,0,2,1,0,122380,0
15680234,Bray,667,Germany,Male,27,2,138032,1,1,0,166318,0
15719352,Davidson,754,Spain,Male,39,6,170185,2,1,0,89593,0
15626012,Obidimkpa,459,France,Male,26,4,149880,1,0,0,50016,0
15806964,Utz,702,France,Male,45,0,80794,1,1,1,27475,0
15721460,Lorenzo,678,France,Male,60,8,185649,1,0,0,192157,1
15568878,Cheng,654,Spain,Male,34,5,0,2,1,0,159311,0
15788536,Armit,755,Germany,Male,40,2,137431,2,0,0,176769,0
15610140,He,601,France,Female,34,5,0,2,1,0,27023,0
15762172,Kerr,850,France,Female,39,2,0,2,1,0,179451,0
15602844,Niu,717,France,Male,38,7,97459,1,0,0,189176,0
15574137,Ch'in,687,Spain,Male,35,3,0,2,1,1,176450,0
15780212,Mao,592,France,Male,37,4,212693,1,0,0,176395,0
15649297,T'ang,605,France,Female,62,4,111066,2,0,1,125661,0
15614361,Liao,620,Spain,Male,42,9,121490,1,1,1,29297,0
15712409,Tang,749,Germany,Male,66,6,182532,2,1,1,195430,0
15803840,Forbes,729,France,Female,32,9,0,2,0,0,150803,0
15658485,Heath,785,France,Female,34,9,70302,1,1,1,68600,0
15672499,Iadanza,635,France,Male,34,3,134692,2,1,1,83773,0
15688007,Liu,703,Spain,Male,20,3,165261,1,1,1,41627,0
15696388,Artamonova,755,Germany,Male,38,4,111097,1,1,1,19763,0
15752588,Vasilyeva,664,France,Male,36,1,0,2,1,1,95373,0
15656471,Mitchell,773,France,Male,33,9,0,2,1,1,1118,0
15592386,Campbell,520,France,Male,58,3,0,2,0,1,32790,0
15669887,Lambert,839,France,Female,51,3,0,1,1,1,69101,1
15807555,Chung,535,France,Male,45,2,0,2,1,0,125658,0
15568487,Gorshkov,712,France,Male,35,7,124616,1,1,1,69321,0
15753550,Levien,684,France,Female,43,7,0,2,1,0,131094,0
15602929,Wilson,728,Spain,Female,37,4,0,1,0,0,4539,0
15758031,Lazarev,760,Spain,Male,38,3,91242,1,0,1,80682,0
15665861,Avdeev,733,Spain,Male,44,3,106071,1,0,1,101617,0
15737173,Andrews,497,Spain,Male,24,3,0,2,1,0,76390,0
15678727,Tan,770,Germany,Male,45,4,110766,1,1,0,26164,1
15648681,Voronoff,747,France,Female,47,5,139915,4,0,1,129965,1
15661219,Trentino,627,France,Male,32,10,0,2,1,0,103288,0
15672637,Voronkov,571,France,Female,30,4,85756,1,1,0,145116,0
15792064,Pai,545,Germany,Male,53,5,114422,1,1,0,180598,1
15726796,Brabyn,844,France,Male,38,7,111502,1,1,1,119333,0
15763612,T'an,756,Germany,Male,41,2,124439,2,0,1,47093,0
15601627,Siciliano,587,France,Male,33,8,148164,1,0,0,122925,0
15579787,Nkemakonam,686,France,Male,39,4,0,2,1,0,155024,0
15711249,Chukwuemeka,544,Spain,Male,22,4,0,2,1,0,70008,0
15770968,Leason,741,Germany,Female,19,8,108712,2,1,0,24857,0
15658432,Freeman,688,France,Male,40,6,0,1,1,1,47886,0
15585367,Diribe,555,Germany,Female,46,4,120393,1,1,0,177720,1
15670822,Palmer,719,France,Female,22,7,114416,1,1,1,177497,0
15632472,Scott,472,Spain,Female,32,1,159398,1,0,1,57323,0
15679148,Oliver,508,France,Male,44,3,115451,2,0,0,67234,0
15803685,Greco,673,Germany,Female,77,10,76511,2,0,1,59596,0
15643908,Turnbull,433,France,Female,49,10,0,1,1,1,87712,0
15659355,McKenzie,671,Spain,Male,32,6,123913,2,1,1,146636,0
15663252,Olisanugo,850,Spain,Female,32,9,0,2,1,1,18925,0
15743617,Chesnokova,713,Germany,Male,47,1,95995,1,1,0,197529,0
15767794,Browne,744,France,Male,31,9,120718,1,1,1,58961,0
15749177,Maslow,730,Spain,Female,52,7,0,2,0,1,122399,0
15777616,Pisani,605,Germany,Male,28,10,113691,1,1,0,33114,0
15784594,Mazzi,549,Germany,Female,37,1,130622,2,1,1,128500,0
15727703,Li Fonti,773,Germany,Male,34,10,126980,1,0,0,36823,0
15776124,Mann,802,Spain,Male,51,7,0,1,0,1,40856,0
15764841,Vidler,623,France,Female,35,0,130557,1,1,1,47881,0
15581479,Archer,523,France,Male,30,1,83181,1,1,1,138177,0
15796813,Storey,493,France,Male,54,3,167832,2,1,0,150160,1
15788776,Landor,588,Germany,Male,49,6,132624,3,1,0,36293,1
15735849,Kanayochukwu,617,France,Female,26,2,165948,2,0,1,168834,0
15701037,Barton,578,France,Male,39,2,0,2,1,0,70564,0
15784042,L?,624,France,Male,55,7,118794,1,1,1,95022,1
15703563,P'eng,774,France,Male,40,9,93017,2,1,0,191609,0
15592194,Metcalf,492,France,Female,28,9,0,2,1,0,95957,0
15749482,Zack,772,Spain,Male,30,4,78653,1,1,0,1790,0
15605293,McKay,559,France,Female,43,1,0,2,1,1,196646,0
15659567,Ch'iu,473,France,Female,39,9,117103,2,1,1,85938,1
15654495,Potter,706,Germany,Female,47,6,120622,1,1,1,140804,0
15570299,Martin,584,Germany,Female,31,6,152622,1,1,0,99299,0
15619608,Ojiofor,454,Germany,Female,50,10,92896,1,1,0,154344,1
15608916,Ndubueze,573,France,Male,40,7,147755,1,1,1,110454,0
15600792,Swayne,613,Spain,Male,29,0,0,2,0,1,133897,0
15746749,Fleming,681,Spain,Female,32,3,0,2,1,1,59680,0
15794178,Walpole,657,France,Male,34,3,107137,1,1,0,153895,0
15581893,Ginikanwa,747,France,Male,43,1,130789,1,0,1,101495,1
15645517,Philip,850,Spain,Male,22,2,0,2,1,1,9685,0
15812073,Palmer,529,France,Female,31,7,0,2,1,1,175698,0
15606232,Holloway,621,Spain,Female,36,7,116339,1,1,1,155743,0
15714832,Baker,652,Germany,Male,36,9,150957,1,0,0,72350,0
15606641,Beggs,762,Germany,Male,56,10,100261,3,1,1,77142,1
15713770,Shih,586,Spain,Male,41,3,63874,1,1,0,83754,0
15805627,Nebechukwu,670,France,Male,37,2,0,2,1,1,54230,0
15663410,Piccio,771,Spain,Male,51,5,135507,3,1,1,152480,1
15618581,Diribe,668,Spain,Male,25,8,0,2,1,1,135112,0
15680243,Brown,792,France,Male,19,7,143391,1,1,0,33283,0
15705544,Ma,633,France,Male,61,3,157201,1,0,1,50369,0
15693904,Chiang,685,Germany,Female,30,4,84959,2,0,1,194344,0
15680597,Cover,784,Germany,Male,38,1,138515,1,1,1,171769,0
15688395,Lane,582,France,Male,29,4,0,2,0,0,156153,0
15772329,Fiorentino,580,Germany,Male,45,8,103741,1,1,0,47429,1
15713644,Marshall,686,Spain,Male,22,5,0,2,1,0,158974,0
15694129,Summers,569,Germany,Female,28,3,100033,1,1,0,5159,1
